ref_date,gender,empl,emplFull,emplPart,emplRate,labForce,participRate,population,unempl,unemplRate
1981-04,Men+,6797.5,6310.3,487.1,73.6,7280.3,78.8,9235.6,482.8,6.6
1981-04,Total - Gender,11315.8,9661.6,1654.2,60.4,12184.1,65.0,18749.9,868.3,7.1
1981-04,Women+,4518.3,3351.3,1167.0,47.5,4903.8,51.5,9514.3,385.5,7.9
1981-05,Men+,6778.0,6273.0,505.1,73.3,7270.1,78.6,9247.6,492.1,6.8
1981-05,Total - Gender,11345.8,9646.5,1699.3,60.4,12223.0,65.1,18775.2,877.2,7.2
1981-05,Women+,4567.8,3373.5,1194.2,47.9,4952.9,52.0,9527.6,385.1,7.8
1981-06,Men+,6769.9,6279.1,490.8,73.1,7265.5,78.4,9262.0,495.6,6.8
1981-06,Total - Gender,11375.6,9685.1,1690.6,60.5,12263.6,65.2,18806.1,887.9,7.2
1981-06,Women+,4605.7,3405.9,1199.8,48.3,4998.0,52.4,9544.1,392.4,7.9
1981-07,Men+,6754.2,6299.2,455.0,72.8,7245.0,78.1,9273.0,490.8,6.8
1981-07,Total - Gender,11336.4,9708.2,1628.2,60.2,12215.8,64.9,18829.0,879.4,7.2
1981-07,Women+,4582.2,3409.0,1173.2,48.0,4970.8,52.0,9555.9,388.6,7.8
1981-08,Men+,6762.1,6283.9,478.2,72.8,7235.5,77.9,9284.4,473.5,6.5
1981-08,Total - Gender,11353.8,9690.9,1662.8,60.2,12215.0,64.8,18852.5,861.2,7.1
1981-08,Women+,4591.7,3407.1,1184.6,48.0,4979.5,52.0,9568.1,387.8,7.8
1981-09,Men+,6728.0,6226.1,501.8,72.4,7286.9,78.4,9298.1,558.9,7.7
1981-09,Total - Gender,11328.7,9618.1,1710.5,60.0,12332.6,65.3,18880.8,1003.9,8.1
1981-09,Women+,4600.7,3392.0,1208.7,48.0,5045.7,52.7,9582.7,445.0,8.8
1981-10,Men+,6709.0,6210.9,498.1,72.1,7277.9,78.2,9309.5,568.8,7.8
1981-10,Total - Gender,11300.1,9595.1,1705.0,59.8,12320.5,65.2,18904.4,1020.4,8.3
1981-10,Women+,4591.1,3384.2,1206.9,47.8,5042.7,52.6,9595.0,451.6,9.0
1981-11,Men+,6704.3,6208.0,496.3,71.9,7264.0,77.9,9320.4,559.7,7.7
1981-11,Total - Gender,11291.5,9583.8,1707.7,59.7,12311.0,65.0,18927.1,1019.5,8.3
1981-11,Women+,4587.3,3375.8,1211.5,47.8,5047.0,52.5,9606.7,459.8,9.1
1981-12,Men+,6665.8,6165.9,499.8,71.4,7284.2,78.1,9331.4,618.4,8.5
1981-12,Total - Gender,11236.0,9513.0,1723.0,59.3,12307.7,64.9,18949.7,1071.7,8.7
1981-12,Women+,4570.2,3347.1,1223.2,47.5,5023.5,52.2,9618.3,453.2,9.0
1982-01,Men+,6629.1,6132.1,496.9,70.9,7250.1,77.6,9344.2,621.0,8.6
1982-01,Total - Gender,11205.6,9490.0,1715.6,59.1,12265.3,64.6,18976.3,1059.7,8.6
1982-01,Women+,4576.5,3357.8,1218.6,47.5,5015.2,52.1,9632.0,438.7,8.7
1982-02,Men+,6605.0,6119.8,485.2,70.6,7241.7,77.4,9356.3,636.7,8.8
1982-02,Total - Gender,11166.9,9459.5,1707.4,58.8,12259.7,64.5,19001.7,1092.8,8.9
1982-02,Women+,4561.9,3339.7,1222.2,47.3,5018.0,52.0,9645.4,456.1,9.1
1982-03,Men+,6584.7,6103.8,480.9,70.3,7249.7,77.4,9366.8,664.9,9.2
1982-03,Total - Gender,11140.5,9435.5,1705.0,58.6,12280.2,64.6,19023.7,1139.7,9.3
1982-03,Women+,4555.8,3331.7,1224.1,47.2,5030.5,52.1,9656.9,474.7,9.4
1982-04,Men+,6534.6,6039.5,495.1,69.7,7241.7,77.2,9377.4,707.1,9.8
1982-04,Total - Gender,11076.3,9358.1,1718.2,58.2,12281.1,64.5,19045.6,1204.8,9.8
1982-04,Women+,4541.7,3318.6,1223.1,47.0,5039.4,52.1,9668.3,497.7,9.9
1982-05,Men+,6502.0,6012.9,489.0,69.3,7254.1,77.3,9388.4,752.1,10.4
1982-05,Total - Gender,11021.9,9325.8,1696.1,57.8,12293.3,64.5,19068.3,1271.4,10.3
1982-05,Women+,4519.9,3312.9,1207.0,46.7,5039.2,52.1,9679.8,519.3,10.3
1982-06,Men+,6434.4,5927.6,506.7,68.4,7259.2,77.2,9401.9,824.8,11.4
1982-06,Total - Gender,10940.6,9200.1,1740.5,57.3,12304.8,64.4,19096.2,1364.3,11.1
1982-06,Women+,4506.2,3272.4,1233.8,46.5,5045.6,52.0,9694.3,539.4,10.7
1982-07,Men+,6402.4,5866.5,535.9,68.0,7288.7,77.5,9409.2,886.2,12.2
1982-07,Total - Gender,10893.6,9125.2,1768.4,57.0,12358.8,64.7,19115.7,1465.2,11.9
1982-07,Women+,4491.2,3258.7,1232.5,46.3,5070.2,52.2,9706.5,579.0,11.4
1982-08,Men+,6346.6,5805.7,540.9,67.4,7252.9,77.0,9421.8,906.3,12.5
1982-08,Total - Gender,10836.3,9032.0,1804.2,56.6,12314.3,64.3,19142.0,1478.1,12.0
