"educm","heightm","BMIm","healthm"
2,190,24.376732,4
1,197,24.994202,4
2,183,24.784258,2
2,177,24.577868,3
2,192,21.701389,3
2,175,24.163265,3
2,195,26.824457,4
2,193,22.282478,2
2,172,25.351542,3
2,189,22.39579,3
2,174,23.781214,3
2,191,24.122147,3
2,196,23.948355,3
2,183,28.367523,3
2,187,21.733536,3
3,170,24.913494,3
2,174,18.166204,3
2,180,25.308641,3
2,192,25.227865,3
1,187,30.59853,4
1,187,31.456432,4
3,186,21.678806,4
2,183,27.173101,3
1,180,22.839506,3
1,185,28.634039,3
2,180,19.444445,3
1,184,30.718336,3
2,178,27.458654,3
2,192,24.956596,3
2,185,21.913805,3
3,185,21.621622,3
1,185,24.835646,4
2,189,23.515579,4
2,184,20.971172,4
2,183,22.694019,3
2,178,22.724403,4
2,182,28.378216,4
2,191,28.50799,3
2,198,24.742373,3
1,182,25.05736,3
3,190,27.70083,3
1,170,24.913494,3
2,180,27.777779,3
2,181,22.282593,3
1,185,22.498175,3
2,172,22.985397,3
2,190,23.822714,3
2,173,25.059307,3
2,183,25.082863,2
2,178,22.724403,3
2,174,23.120625,1
2,190,21.606647,4
2,180,22.222221,4
2,183,22.395414,4
2,191,22.75157,3
2,183,21.499598,3
2,187,26.309017,3
2,178,24.618103,1
2,182,23.54788,0
2,188,23.200542,3
2,182,22.642193,3
2,182,28.680111,3
3,185,25.420015,3
3,165,24.609734,3
2,180,22.222221,2
2,184,29.536861,3
1,175,24.489796,3
2,169,22.058052,2
2,180,24.382715,3
2,176,24.857954,3
2,175,20.244898,3
2,180,25.925926,3
2,182,21.132713,3
2,180,30.864197,4
2,174,24.441803,4
2,183,24.784258,3
2,178,24.618103,3
2,182,28.982006,3
2,182,24.151672,3
2,176,30.668905,3
3,194,23.647572,3
2,197,27.05558,3
2,180,27.777779,3
2,190,22.99169,3
2,184,28.946125,3
2,186,24.569315,3
1,190,28.808865,2
2,185,20.452885,3
3,176,28.40909,4
2,184,26.287807,3
3,174,23.120625,3
2,187,25.737082,3
3,181,25.02976,4
2,176,25.180784,2
2,166,29.03179,4
2,182,22.038401,3
2,182,26.868736,4
3,175,23.510204,3
2,171,29.068773,3
1,190,22.160666,3
2,170,21.799309,3
2,201,27.227049,3
2,183,28.068918,3
2,187,28.596758,3
2,185,26.588751,3
2,185,26.296566,4
2,185,26.880936,3
3,184,24.220226,4
2,197,28.343941,3
3,178,21.777554,3
2,183,26.874496,3
2,180,27.777779,3
2,183,26.277285,2
3,175,26.12245,3
2,173,33.412411,3
2,187,23.735308,3
2,188,29.708014,3
3,191,27.41153,3
2,178,25.249338,3
2,187,30.884499,3
2,182,22.944088,4
2,178,28.405504,3
2,168,29.407597,3
